id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Compound Score
19364255,"Cozy 2Br+1.5 Bath, Free Parking/ Yonge & Sheppard",135732254,Ava,Willowdale East,43.75806,-79.40776,Entire home/apt,111,28,36,0.63,1,204,0,0.696860606
19365172,Private & Furnished Bungalow,132653367,Dexter,Yorkdale-Glen Park,43.70553,-79.45927,Private room,95,28,30,0.52,1,0,0,0.768772414
19366464,Beautiful & cozy home!,135754254,Osman,O'Connor-Parkview,43.70532,-79.29512,Entire home/apt,84,28,63.5,2.47,1,7,0,0.749350327
19367332,Luxury Condo next to CN Tower & ACC (FREE PARKING),63679149,Dinara,Waterfront Communities-The Island,43.6408,-79.3837,Entire home/apt,111,14,63,1.1,1,0,1,0.820777049
19367417,Bedroom 1 号房,50769016,Jane,Willowdale East,43.78004,-79.39658,Private room,159,28,3,0.07,3,363,0,0.9517
19374127,Private Room w/ Shared Bathroom,2585076,Halima,Cabbagetown-South St.James Town,43.66619,-79.37441,Private room,80,28,6,0.11,1,342,0,0.67728
19381319,Charming apartment in the heart of Little Italy,705238,Winnie,Trinity-Bellwoods,43.65428,-79.41803,Private room,70,28,6,0.1,2,0,0,0.926516667
19382587,Gorgeous Suite Downtown with Sunset & City View!,5845598,Tara Marie,Waterfront Communities-The Island,43.64543,-79.39119,Entire home/apt,173,14,53,0.94,1,196,7,0.779362745
19388399,"Private loft, in Liberty Village, sleeps four.",36568706,Martin,Niagara,43.63907,-79.41236,Entire home/apt,189,3,63.5,1.67,1,172,7.5,0.839442222
19401714,Heart of Ossington/Trinity Bellwoods,39619269,Aline,Little Portugal,43.6467,-79.42469,Entire home/apt,200,5,3,0.05,2,0,0,0.962233333
19403136,"Clean, comfortable and cozy Room #2 in Don Mills",71028073,Debra,Parkwoods-Donalda,43.74578,-79.31286,Private room,58,28,21,0.37,1,89,0,0.943909524
19404923,Amazing 2BR Apartment in Leslieville With Parking!,136035572,Markus,South Riverdale,43.66806,-79.33606,Entire home/apt,112,1,63.5,1.44,1,61,1,0.804113924
19409893,Cosy Downtown Toronto Century Home,79544131,Rowena,Annex,43.66731,-79.41017,Entire home/apt,107,64,9,0.16,1,358,1,0.913211111
19425985,Junction Triangle room,88570966,Peter,Dovercourt-Wallace Emerson-Junction,43.66458,-79.45306,Private room,65,28,11,0.2,1,0,0,0.901845455
19427458,Private Space - Centrally located in the Annex,6311410,Soraya,University,43.65962,-79.40837,Entire home/apt,85,28,57,1,2,64,5,0.808110909
19429944,"Leslieville: private bath, balcony and parking",37888099,Adele,South Riverdale,43.6681,-79.33782,Private room,65,30,14,0.24,3,156,0,0.940169231
19437788,Large 1-Bedroom in Downtown Toronto,136273900,Franz,Waterfront Communities-The Island,43.64269,-79.38239,Entire home/apt,129,28,14,0.24,1,0,0,0.627792857
19438380,One Bedroom at Scarborough Town Centre,116097323,Ruojing,Bendale,43.77245,-79.25954,Private room,24,28,1,0.02,1,0,0,0.9799
19439722,Cozy 1Bedroom Condo next to Rogers/Union/CNTower,79920634,Martha,Waterfront Communities-The Island,43.6418,-79.38028,Entire home/apt,118,28,63.5,2.47,7,192,1,0.775652151
19440149,Modern living close to popular tourist attractions,18813963,Frankie And Trish,South Parkdale,43.63304,-79.43573,Entire home/apt,100,28,19,0.33,1,0,0,0.634221053
19440396,Perfect private stay in downtown Toronto,3846996,Baruch,Annex,43.67311,-79.41067,Entire home/apt,93,4,63.5,2.47,1,119,7.5,0.898625899
19449518,Quaint & Cozy Townhouse by the Lake!,47585226,Sara,South Parkdale,43.63612,-79.46756,Entire home/apt,100,28,8,0.14,1,0,0,0.919871429
19457877,Spacious Downtown Condo: Available July 17-Aug 31,12368388,Valerie,Cabbagetown-South St.James Town,43.66341,-79.37503,Entire home/apt,99,28,3,0.05,1,0,0,0.315866667
19458394,Quiet building in the Church and Wellesley area,63297078,Jennifer,Church-Yonge Corridor,43.66619,-79.38067,Entire home/apt,168,28,53,0.91,4,0,0,0.772804082
19460610,Upstairs Unit of Townhouse,43032368,Luigi,Kensington-Chinatown,43.6518,-79.38992,Entire home/apt,100,28,63.5,1.3,3,310,3,0.747374286
19465868,"Annex, apartment in house, downtown, safe, subway",103972961,Eva,Annex,43.67139,-79.40426,Entire home/apt,113,30,16,0.3,2,184,0,0.862742857
19470035,Downtown Toronto Townhouse - Silver Room,67728350,Alex & Peter,Regent Park,43.65993,-79.36259,Private room,105,28,63.5,2.27,2,180,0,0.896673276
19473352,Downtown Toronto West Condo,131071644,Reyes,South Parkdale,43.6407,-79.42566,Entire home/apt,60,28,27,0.48,1,0,0,0.6893125
19474380,Zach's Scarborough Apartment,66229356,Zach,Eglinton East,43.73928,-79.23794,Entire home/apt,50,28,2,0.04,1,0,0,0.9416
19477031,Jade House 2 Master bedroom with private washroom,136671442,Helen,Tam O'Shanter-Sullivan,43.78063,-79.29186,Private room,70,28,11,0.2,5,0,0,0.83832
19485030,Downtown Toronto Townhouse - Gold Room,67728350,Alex & Peter,Regent Park,43.65807,-79.36264,Private room,105,28,63.5,1.97,2,180,0,0.877572381
19487345,Entire place Queen West- Entertainment everywhere!,35201659,Jenna,Niagara,43.6443,-79.40917,Entire home/apt,69,28,46,1.06,2,106,0,0.703838636
19487621,Make the Heart of Toronto Yours,34867672,Robert,Waterfront Communities-The Island,43.64662,-79.39308,Entire home/apt,75,28,56,1.1,1,0,0,0.819653191
19487827,"Charming, Cozy, Bright w/ Huge Windows",15791677,Mella,North St.James Town,43.66893,-79.37888,Entire home/apt,115,30,63.5,2.47,1,35,7.5,0.889868023
19491095,"LUXURY Condo, 2BD+2BA+ Free Parking+Direct Subway",129945083,Aida,Willowdale East,43.76052,-79.40949,Entire home/apt,228,64,26,0.51,1,0,0,0.825832
19491247,北约克独立卫生间温馨双人套房bedroom with bathroom,33466406,Funsway,Hillcrest Village,43.79086,-79.36338,Private room,50,64,2,0.04,4,364,0,0.8225
19497395,Condo in the sky with a breathtaking view,8540894,Yani,Waterfront Communities-The Island,43.64292,-79.38271,Entire home/apt,192,30,63.5,1.46,8.5,0,0,0.83740641
19507294,☀Airbnb Friendly☀Sleeps 6☀With Parking!,136992491,Suze & Shams,Waterfront Communities-The Island,43.64413,-79.3894,Entire home/apt,111,1,63.5,2.47,1,31,7.5,0.766204878
19507666,Downtown room next to liberty village King street.,137005102,Dee,South Parkdale,43.63703,-79.42937,Private room,60,28,2,0.04,1,0,0,0.45765
19507761,NEW Modern 2BDR w/ Parking and CN Tower View,103906806,Linda,Waterfront Communities-The Island,43.64634,-79.39141,Entire home/apt,300,28,32,0.55,1,0,0,0.735553125
19507898,Cozy Bachelor in the Annex,83325473,Phil,Annex,43.67158,-79.40192,Entire home/apt,60,28,2,0.04,1,0,0,0.7132
19531504,Private room to stay,112322647,Eleanor,Glenfield-Jane Heights,43.7527,-79.51052,Shared room,100,28,1,0.02,4,365,0,-0.2057
19531535,Bright room in the heart of the Annex!,137177688,Heather,Annex,43.66547,-79.41057,Private room,25,28,2,0.03,1,0,0,0.97235
19532125,Summerhill Bright Studio 2,27289380,John,Yonge-St.Clair,43.68031,-79.39592,Entire home/apt,139,28,21,0.37,3,0,0,0.702782353
19532314,"Full Basement (2 units, 1 Free Parking Spot)",27289380,John,Yonge-St.Clair,43.68039,-79.39742,Entire home/apt,210,28,3,0.06,3,0,0,0.890766667
19532349,"4Bdrm w Prking, 2100 sqft, 5min Walk to Subway",137168318,Dian,Greenwood-Coxwell,43.68086,-79.32646,Entire home/apt,319,28,63.5,1.38,1,0,0,0.784434667
19555561,Clean & Modern Studio in Bloorcourt,137403170,Tony,Dovercourt-Wallace Emerson-Junction,43.66338,-79.43133,Entire home/apt,115,2,63.5,1.94,1,36,7.5,0.911247059
19555701,"3- BR Panoramic view lake, CN Tower, Rogers Centre",6155992,Dunc,Waterfront Communities-The Island,43.63989,-79.3824,Entire home/apt,319,28,1,0.02,1,0,0,0.8925
19564973,Lakeview Condo in the Heart of Downtown Toronto,137482498,Taniya,Waterfront Communities-The Island,43.63778,-79.39866,Entire home/apt,196,28,8,0.14,1,0,0,0.733442857
19565789,Luxurious Condo With Parking in Heart of Downtown!,19198533,Kristen,Waterfront Communities-The Island,43.64194,-79.38139,Entire home/apt,115,1,63.5,2.47,1,150,7.5,0.849098842
19567196,"""Cozy room for one"" with private bathroom!",97035552,Vesna,Birchcliffe-Cliffside,43.70958,-79.25544,Private room,48,1,37,0.67,1,358,7.5,0.828433333
19574238,Beautiful house steps to the beach,137568945,Ashley,The Beaches,43.66606,-79.30775,Entire home/apt,319,3,55,0.98,1,178,7.5,0.817042593
